,function,msg,str_title,time
0,OnRtnOrder,"{'OrderLocalID': '        2098', 'ActiveTraderID': '', 'OrderSource': '0', 'BrokerID': '9999', 'InstrumentID': 'rb1705', 'ContingentCondition': '1', 'Direction': '1', 'LimitPrice': 3512.0, 'CombOffsetFlag': '1', 'IsAutoSuspend': 0, 'OrderSubmitStatus': '0', 'OrderStatus': 'a', 'VolumeTotal': 71, 'VolumeTraded': 0, 'UpdateTime': '', 'NotifySequence': 0, 'SessionID': -1978248746, 'SequenceNo': 0, 'UserID': '078681', 'BrokerOrderSeq': 4056, 'InsertTime': '21:04:38', 'ClearingPartID': '', 'ParticipantID': '9999', 'TradingDay': '20170223', 'BranchID': '', 'AccountID': '', 'TraderID': '9999cac', 'VolumeTotalOriginal': 71, 'IsSwapOrder': 0, 'ClientID': '9999078661', 'InvestUnitID': '', 'UserProductInfo': 'Q7 178', 'OrderPriceType': '2', 'MacAddress': '', 'ForceCloseReason': '0', 'OrderType': '0', 'RequestID': 70, 'StopPrice': 0.0, 'CancelTime': '', 'OrderSysID': '', 'UserForceClose': 0, 'FrontID': 1, 'GTDDate': '', 'VolumeCondition': '1', 'ExchangeID': 'SHFE', 'OrderRef': '1', 'ZCETotalTradedVolume': 0, 'BusinessUnit': '9999cac', 'CombHedgeFlag': '1', 'InsertDate': '20170222', 'ExchangeInstID': 'rb1705', 'ActiveUserID': '', 'SettlementID': 1, 'StatusMsg': '报单已提交', 'ActiveTime': '', 'MinVolume': 0, 'InvestorID': '078681', 'CurrencyID': '', 'TimeCondition': '3', 'InstallID': 1, 'SuspendTime': '', 'IPAddress': '', 'RelativeOrderSysID': ''}",报单回调,2017-02-23 09:44:31
1,OnRtnOrder,"{'OrderLocalID': '        2098', 'ActiveTraderID': '', 'OrderSource': '0', 'BrokerID': '9999', 'InstrumentID': 'rb1705', 'ContingentCondition': '1', 'Direction': '1', 'LimitPrice': 3512.0, 'CombOffsetFlag': '1', 'IsAutoSuspend': 0, 'OrderSubmitStatus': '0', 'OrderStatus': 'a', 'VolumeTotal': 71, 'VolumeTraded': 0, 'UpdateTime': '', 'NotifySequence': 0, 'SessionID': -1978248746, 'SequenceNo': 3705, 'UserID': '078681', 'BrokerOrderSeq': 4056, 'InsertTime': '21:04:38', 'ClearingPartID': '', 'ParticipantID': '9999', 'TradingDay': '20170223', 'BranchID': '', 'AccountID': '', 'TraderID': '9999cac', 'VolumeTotalOriginal': 71, 'IsSwapOrder': 0, 'ClientID': '9999078661', 'InvestUnitID': '', 'UserProductInfo': 'Q7 178', 'OrderPriceType': '2', 'MacAddress': '', 'ForceCloseReason': '0', 'OrderType': '0', 'RequestID': 70, 'StopPrice': 0.0, 'CancelTime': '', 'OrderSysID': '        3823', 'UserForceClose': 0, 'FrontID': 1, 'GTDDate': '', 'VolumeCondition': '1', 'ExchangeID': 'SHFE', 'OrderRef': '1', 'ZCETotalTradedVolume': 0, 'BusinessUnit': '9999cac', 'CombHedgeFlag': '1', 'InsertDate': '20170222', 'ExchangeInstID': 'rb1705', 'ActiveUserID': '', 'SettlementID': 1, 'StatusMsg': '报单已提交', 'ActiveTime': '', 'MinVolume': 0, 'InvestorID': '078681', 'CurrencyID': '', 'TimeCondition': '3', 'InstallID': 1, 'SuspendTime': '', 'IPAddress': '', 'RelativeOrderSysID': ''}",报单回调,2017-02-23 09:44:31
2,OnRtnOrder,"{'OrderLocalID': '        2098', 'ActiveTraderID': '', 'OrderSource': '0', 'BrokerID': '9999', 'InstrumentID': 'rb1705', 'ContingentCondition': '1', 'Direction': '1', 'LimitPrice': 3512.0, 'CombOffsetFlag': '1', 'IsAutoSuspend': 0, 'OrderSubmitStatus': '0', 'OrderStatus': '0', 'VolumeTotal': 0, 'VolumeTraded': 71, 'UpdateTime': '', 'NotifySequence': 0, 'SessionID': -1978248746, 'SequenceNo': 3705, 'UserID': '078681', 'BrokerOrderSeq': 4056, 'InsertTime': '21:04:38', 'ClearingPartID': '', 'ParticipantID': '9999', 'TradingDay': '20170223', 'BranchID': '', 'AccountID': '', 'TraderID': '9999cac', 'VolumeTotalOriginal': 71, 'IsSwapOrder': 0, 'ClientID': '9999078661', 'InvestUnitID': '', 'UserProductInfo': 'Q7 178', 'OrderPriceType': '2', 'MacAddress': '', 'ForceCloseReason': '0', 'OrderType': '0', 'RequestID': 70, 'StopPrice': 0.0, 'CancelTime': '', 'OrderSysID': '        3823', 'UserForceClose': 0, 'FrontID': 1, 'GTDDate': '', 'VolumeCondition': '1', 'ExchangeID': 'SHFE', 'OrderRef': '1', 'ZCETotalTradedVolume': 0, 'BusinessUnit': '9999cac', 'CombHedgeFlag': '1', 'InsertDate': '20170222', 'ExchangeInstID': 'rb1705', 'ActiveUserID': '', 'SettlementID': 1, 'StatusMsg': '全部成交报单已提交', 'ActiveTime': '', 'MinVolume': 0, 'InvestorID': '078681', 'CurrencyID': '', 'TimeCondition': '3', 'InstallID': 1, 'SuspendTime': '', 'IPAddress': '', 'RelativeOrderSysID': ''}",报单回调,2017-02-23 09:44:31
3,OnRtnOrder,"{'OrderLocalID': '        1707', 'ActiveTraderID': '', 'OrderSource': '0', 'BrokerID': '9999', 'InstrumentID': 'm1705', 'ContingentCondition': '1', 'Direction': '1', 'LimitPrice': 2920.0, 'CombOffsetFlag': '1', 'IsAutoSuspend': 0, 'OrderSubmitStatus': '0', 'OrderStatus': 'a', 'VolumeTotal': 1, 'VolumeTraded': 0, 'UpdateTime': '', 'NotifySequence': 0, 'SessionID': -1978248746, 'SequenceNo': 0, 'UserID': '078681', 'BrokerOrderSeq': 4058, 'InsertTime': '21:04:38', 'ClearingPartID': '', 'ParticipantID': '9999', 'TradingDay': '20170223', 'BranchID': '', 'AccountID': '', 'TraderID': '9999caf', 'VolumeTotalOriginal': 1, 'IsSwapOrder': 0, 'ClientID': '9999078661', 'InvestUnitID': '', 'UserProductInfo': 'Q7 178', 'OrderPriceType': '2', 'MacAddress': '', 'ForceCloseReason': '0', 'OrderType': '0', 'RequestID': 72, 'StopPrice': 0.0, 'CancelTime': '', 'OrderSysID': '', 'UserForceClose': 0, 'FrontID': 1, 'GTDDate': '', 'VolumeCondition': '1', 'ExchangeID': 'DCE', 'OrderRef': '2', 'ZCETotalTradedVolume': 0, 'BusinessUnit': '9999caf', 'CombHedgeFlag': '1', 'InsertDate': '20170222', 'ExchangeInstID': 'm1705', 'ActiveUserID': '', 'SettlementID': 1, 'StatusMsg': '报单已提交', 'ActiveTime': '', 'MinVolume': 0, 'InvestorID': '078681', 'CurrencyID': '', 'TimeCondition': '3', 'InstallID': 1, 'SuspendTime': '', 'IPAddress': '', 'RelativeOrderSysID': ''}",报单回调,2017-02-23 09:44:31
4,OnRtnOrder,"{'OrderLocalID': '        1707', 'ActiveTraderID': '', 'OrderSource': '0', 'BrokerID': '9999', 'InstrumentID': 'm1705', 'ContingentCondition': '1', 'Direction': '1', 'LimitPrice': 2920.0, 'CombOffsetFlag': '1', 'IsAutoSuspend': 0, 'OrderSubmitStatus': '0', 'OrderStatus': 'a', 'VolumeTotal': 1, 'VolumeTraded': 0, 'UpdateTime': '', 'NotifySequence': 0, 'SessionID': -1978248746, 'SequenceNo': 2619, 'UserID': '078681', 'BrokerOrderSeq': 4058, 'InsertTime': '21:04:38', 'ClearingPartID': '', 'ParticipantID': '9999', 'TradingDay': '20170223', 'BranchID': '', 'AccountID': '', 'TraderID': '9999caf', 'VolumeTotalOriginal': 1, 'IsSwapOrder': 0, 'ClientID': '9999078661', 'InvestUnitID': '', 'UserProductInfo': 'Q7 178', 'OrderPriceType': '2', 'MacAddress': '', 'ForceCloseReason': '0', 'OrderType': '0', 'RequestID': 72, 'StopPrice': 0.0, 'CancelTime': '', 'OrderSysID': '        3825', 'UserForceClose': 0, 'FrontID': 1, 'GTDDate': '', 'VolumeCondition': '1', 'ExchangeID': 'DCE', 'OrderRef': '2', 'ZCETotalTradedVolume': 0, 'BusinessUnit': '', 'CombHedgeFlag': '1', 'InsertDate': '20170222', 'ExchangeInstID': 'm1705', 'ActiveUserID': '', 'SettlementID': 1, 'StatusMsg': '报单已提交', 'ActiveTime': '', 'MinVolume': 0, 'InvestorID': '078681', 'CurrencyID': '', 'TimeCondition': '3', 'InstallID': 1, 'SuspendTime': '', 'IPAddress': '', 'RelativeOrderSysID': ''}",报单回调,2017-02-23 09:44:31
5,OnRtnOrder,"{'OrderLocalID': '        1707', 'ActiveTraderID': '', 'OrderSource': '0', 'BrokerID': '9999', 'InstrumentID': 'm1705', 'ContingentCondition': '1', 'Direction': '1', 'LimitPrice': 2920.0, 'CombOffsetFlag': '1', 'IsAutoSuspend': 0, 'OrderSubmitStatus': '0', 'OrderStatus': '0', 'VolumeTotal': 0, 'VolumeTraded': 1, 'UpdateTime': '', 'NotifySequence': 0, 'SessionID': -1978248746, 'SequenceNo': 2619, 'UserID': '078681', 'BrokerOrderSeq': 4058, 'InsertTime': '21:04:38', 'ClearingPartID': '', 'ParticipantID': '9999', 'TradingDay': '20170223', 'BranchID': '', 'AccountID': '', 'TraderID': '9999caf', 'VolumeTotalOriginal': 1, 'IsSwapOrder': 0, 'ClientID': '9999078661', 'InvestUnitID': '', 'UserProductInfo': 'Q7 178', 'OrderPriceType': '2', 'MacAddress': '', 'ForceCloseReason': '0', 'OrderType': '0', 'RequestID': 72, 'StopPrice': 0.0, 'CancelTime': '', 'OrderSysID': '        3825', 'UserForceClose': 0, 'FrontID': 1, 'GTDDate': '', 'VolumeCondition': '1', 'ExchangeID': 'DCE', 'OrderRef': '2', 'ZCETotalTradedVolume': 0, 'BusinessUnit': '', 'CombHedgeFlag': '1', 'InsertDate': '20170222', 'ExchangeInstID': 'm1705', 'ActiveUserID': '', 'SettlementID': 1, 'StatusMsg': '全部成交报单已提交', 'ActiveTime': '', 'MinVolume': 0, 'InvestorID': '078681', 'CurrencyID': '', 'TimeCondition': '3', 'InstallID': 1, 'SuspendTime': '', 'IPAddress': '', 'RelativeOrderSysID': ''}",报单回调,2017-02-23 09:44:31
6,OnRtnOrder,"{'OrderLocalID': '         869', 'ActiveTraderID': '', 'OrderSource': '0', 'BrokerID': '9999', 'InstrumentID': 'SR705', 'ContingentCondition': '1', 'Direction': '1', 'LimitPrice': 6877.0, 'CombOffsetFlag': '1', 'IsAutoSuspend': 0, 'OrderSubmitStatus': '0', 'OrderStatus': 'a', 'VolumeTotal': 1, 'VolumeTraded': 0, 'UpdateTime': '', 'NotifySequence': 0, 'SessionID': -1978248746, 'SequenceNo': 0, 'UserID': '078681', 'BrokerOrderSeq': 4061, 'InsertTime': '21:04:39', 'ClearingPartID': '', 'ParticipantID': '9999', 'TradingDay': '20170223', 'BranchID': '', 'AccountID': '', 'TraderID': '9999cae', 'VolumeTotalOriginal': 1, 'IsSwapOrder': 0, 'ClientID': '9999078661', 'InvestUnitID': '', 'UserProductInfo': 'Q7 178', 'OrderPriceType': '2', 'MacAddress': '', 'ForceCloseReason': '0', 'OrderType': '0', 'RequestID': 74, 'StopPrice': 0.0, 'CancelTime': '', 'OrderSysID': '', 'UserForceClose': 0, 'FrontID': 1, 'GTDDate': '', 'VolumeCondition': '1', 'ExchangeID': 'CZCE', 'OrderRef': '3', 'ZCETotalTradedVolume': 0, 'BusinessUnit': '9999cae', 'CombHedgeFlag': '1', 'InsertDate': '20170222', 'ExchangeInstID': 'SR705', 'ActiveUserID': '', 'SettlementID': 1, 'StatusMsg': '报单已提交', 'ActiveTime': '', 'MinVolume': 0, 'InvestorID': '078681', 'CurrencyID': '', 'TimeCondition': '3', 'InstallID': 1, 'SuspendTime': '', 'IPAddress': '', 'RelativeOrderSysID': ''}",报单回调,2017-02-23 09:44:31
7,OnRtnOrder,"{'OrderLocalID': '         869', 'ActiveTraderID': '', 'OrderSource': '0', 'BrokerID': '9999', 'InstrumentID': 'SR705', 'ContingentCondition': '1', 'Direction': '1', 'LimitPrice': 6877.0, 'CombOffsetFlag': '1', 'IsAutoSuspend': 0, 'OrderSubmitStatus': '0', 'OrderStatus': 'a', 'VolumeTotal': 1, 'VolumeTraded': 0, 'UpdateTime': '', 'NotifySequence': 0, 'SessionID': -1978248746, 'SequenceNo': 1494, 'UserID': '078681', 'BrokerOrderSeq': 4061, 'InsertTime': '21:04:39', 'ClearingPartID': '', 'ParticipantID': '9999', 'TradingDay': '20170223', 'BranchID': '', 'AccountID': '', 'TraderID': '9999cae', 'VolumeTotalOriginal': 1, 'IsSwapOrder': 0, 'ClientID': '9999078661', 'InvestUnitID': '', 'UserProductInfo': 'Q7 178', 'OrderPriceType': '2', 'MacAddress': '', 'ForceCloseReason': '0', 'OrderType': '0', 'RequestID': 74, 'StopPrice': 0.0, 'CancelTime': '', 'OrderSysID': '        3828', 'UserForceClose': 0, 'FrontID': 1, 'GTDDate': '', 'VolumeCondition': '1', 'ExchangeID': 'CZCE', 'OrderRef': '3', 'ZCETotalTradedVolume': 1, 'BusinessUnit': '9999cae', 'CombHedgeFlag': '1', 'InsertDate': '20170222', 'ExchangeInstID': 'SR705', 'ActiveUserID': '', 'SettlementID': 1, 'StatusMsg': '报单已提交', 'ActiveTime': '', 'MinVolume': 0, 'InvestorID': '078681', 'CurrencyID': '', 'TimeCondition': '3', 'InstallID': 1, 'SuspendTime': '', 'IPAddress': '', 'RelativeOrderSysID': ''}",报单回调,2017-02-23 09:44:31
8,OnRtnOrder,"{'OrderLocalID': '         869', 'ActiveTraderID': '', 'OrderSource': '0', 'BrokerID': '9999', 'InstrumentID': 'SR705', 'ContingentCondition': '1', 'Direction': '1', 'LimitPrice': 6877.0, 'CombOffsetFlag': '1', 'IsAutoSuspend': 0, 'OrderSubmitStatus': '0', 'OrderStatus': '0', 'VolumeTotal': 0, 'VolumeTraded': 1, 'UpdateTime': '', 'NotifySequence': 0, 'SessionID': -1978248746, 'SequenceNo': 1494, 'UserID': '078681', 'BrokerOrderSeq': 4061, 'InsertTime': '21:04:39', 'ClearingPartID': '', 'ParticipantID': '9999', 'TradingDay': '20170223', 'BranchID': '', 'AccountID': '', 'TraderID': '9999cae', 'VolumeTotalOriginal': 1, 'IsSwapOrder': 0, 'ClientID': '9999078661', 'InvestUnitID': '', 'UserProductInfo': 'Q7 178', 'OrderPriceType': '2', 'MacAddress': '', 'ForceCloseReason': '0', 'OrderType': '0', 'RequestID': 74, 'StopPrice': 0.0, 'CancelTime': '', 'OrderSysID': '        3828', 'UserForceClose': 0, 'FrontID': 1, 'GTDDate': '', 'VolumeCondition': '1', 'ExchangeID': 'CZCE', 'OrderRef': '3', 'ZCETotalTradedVolume': 1, 'BusinessUnit': '9999cae', 'CombHedgeFlag': '1', 'InsertDate': '20170222', 'ExchangeInstID': 'SR705', 'ActiveUserID': '', 'SettlementID': 1, 'StatusMsg': '全部成交报单已提交', 'ActiveTime': '', 'MinVolume': 0, 'InvestorID': '078681', 'CurrencyID': '', 'TimeCondition': '3', 'InstallID': 1, 'SuspendTime': '', 'IPAddress': '', 'RelativeOrderSysID': ''}",报单回调,2017-02-23 09:44:31
9,OnRtnOrder,"{'OrderLocalID': '        4832', 'ActiveTraderID': '', 'OrderSource': '0', 'BrokerID': '9999', 'InstrumentID': 'rb1710', 'ContingentCondition': '1', 'Direction': '0', 'LimitPrice': 3170.0, 'CombOffsetFlag': '0', 'IsAutoSuspend': 0, 'OrderSubmitStatus': '0', 'OrderStatus': 'a', 'VolumeTotal': 1, 'VolumeTraded': 0, 'UpdateTime': '', 'NotifySequence': 0, 'SessionID': -1978248746, 'SequenceNo': 0, 'UserID': '078681', 'BrokerOrderSeq': 7577, 'InsertTime': '21:13:19', 'ClearingPartID': '', 'ParticipantID': '9999', 'TradingDay': '20170223', 'BranchID': '', 'AccountID': '', 'TraderID': '9999cac', 'VolumeTotalOriginal': 1, 'IsSwapOrder': 0, 'ClientID': '9999078661', 'InvestUnitID': '', 'UserProductInfo': 'Q7 178', 'OrderPriceType': '2', 'MacAddress': '', 'ForceCloseReason': '0', 'OrderType': '0', 'RequestID': 110, 'StopPrice': 0.0, 'CancelTime': '', 'OrderSysID': '', 'UserForceClose': 0, 'FrontID': 1, 'GTDDate': '', 'VolumeCondition': '1', 'ExchangeID': 'SHFE', 'OrderRef': '4', 'ZCETotalTradedVolume': 0, 'BusinessUnit': '9999cac', 'CombHedgeFlag': '1', 'InsertDate': '20170222', 'ExchangeInstID': 'rb1710', 'ActiveUserID': '', 'SettlementID': 1, 'StatusMsg': '报单已提交', 'ActiveTime': '', 'MinVolume': 0, 'InvestorID': '078681', 'CurrencyID': '', 'TimeCondition': '3', 'InstallID': 1, 'SuspendTime': '', 'IPAddress': '', 'RelativeOrderSysID': ''}",报单回调,2017-02-23 09:44:31
