,InstrumentID,time,last,volume,amount,position,ask1,bid1,asize1,bsize1
0,cu1609,2016-07-20 15:17:46.500,38280.0,463442.0,89121222200.0,276684.0,38310.0,38280.0,3.0,67.0
1,cu1610,2016-07-20 15:17:46.500,38410.0,168214.0,32354536500.0,158190.0,38410.0,38340.0,1.0,1.0
