,CombinationType,CreateDate,DeliveryMonth,DeliveryYear,EndDelivDate,ExchangeID,ExchangeInstID,ExpireDate,InstLifePhase,InstrumentID,InstrumentName,IsTrading,LongMarginRatio,MaxLimitOrderVolume,MaxMarginSideAlgorithm,MaxMarketOrderVolume,MinLimitOrderVolume,MinMarketOrderVolume,OpenDate,OptionsType,PositionDateType,PositionType,PriceTick,ProductClass,ProductID,ShortMarginRatio,StartDelivDate,StrikePrice,UnderlyingInstrID,UnderlyingMultiple,VolumeMultiple
32,b'0',b'20160114',8.0,2016.0,b'20160822',b'SHFE',b'bu1608',b'20160815',b'1',b'bu1608',b'\xc1\xa4\xc7\xe01608',1.0,0.06999999999999999,500.0,b'1',30.0,1.0,1.0,b'20160216',b'\x00',b'1',b'2',2.0,b'1',b'bu',0.06999999999999999,b'20160816',0.0,b'',0.0,10.0
33,b'0',b'20140903',9.0,2016.0,b'20160921',b'SHFE',b'bu1609',b'20160919',b'1',b'bu1609',b'\xc1\xa4\xc7\xe01609',1.0,0.06999999999999999,500.0,b'1',500.0,1.0,1.0,b'20140916',b'\x00',b'1',b'2',2.0,b'1',b'bu',0.06999999999999999,b'20160920',0.0,b'',1.0,10.0
34,b'0',b'20160316',10.0,2016.0,b'20161024',b'SHFE',b'bu1610',b'20161017',b'1',b'bu1610',b'\xc1\xa4\xc7\xe01610',1.0,0.06999999999999999,500.0,b'1',30.0,1.0,1.0,b'20160418',b'\x00',b'1',b'2',2.0,b'1',b'bu',0.06999999999999999,b'20161018',0.0,b'',0.0,10.0
35,b'0',b'20160414',11.0,2016.0,b'20161122',b'SHFE',b'bu1611',b'20161115',b'1',b'bu1611',b'\xc1\xa4\xc7\xe01611',1.0,0.06999999999999999,500.0,b'1',30.0,1.0,1.0,b'20160517',b'\x00',b'1',b'2',2.0,b'1',b'bu',0.06999999999999999,b'20161116',0.0,b'',0.0,10.0
36,b'0',b'20141203',12.0,2016.0,b'20161216',b'SHFE',b'bu1612',b'20161215',b'1',b'bu1612',b'\xc1\xa4\xc7\xe01612',1.0,0.06999999999999999,500.0,b'1',500.0,1.0,1.0,b'20141216',b'\x00',b'1',b'2',2.0,b'1',b'bu',0.06999999999999999,b'20161215',1.7976931348623157e+308,b'',1.0,10.0
37,b'0',b'20160615',1.0,2017.0,b'20170123',b'SHFE',b'bu1701',b'20170116',b'1',b'bu1701',b'\xc1\xa4\xc7\xe01701',1.0,0.06999999999999999,500.0,b'1',30.0,1.0,1.0,b'20160718',b'\x00',b'1',b'2',2.0,b'1',b'bu',0.06999999999999999,b'20170117',0.0,b'',0.0,10.0
38,b'0',b'20150305',3.0,2017.0,b'20170316',b'SHFE',b'bu1703',b'20170315',b'1',b'bu1703',b'\xc1\xa4\xc7\xe01703',1.0,0.06999999999999999,500.0,b'1',500.0,1.0,1.0,b'20150317',b'\x00',b'1',b'2',2.0,b'1',b'bu',0.06999999999999999,b'20170315',1.7976931348623157e+308,b'',1.0,10.0
39,b'0',b'20150605',6.0,2017.0,b'20170619',b'SHFE',b'bu1706',b'20170615',b'1',b'bu1706',b'\xc1\xa4\xc7\xe01706',1.0,0.06999999999999999,500.0,b'1',500.0,1.0,1.0,b'20150616',b'\x00',b'1',b'2',2.0,b'1',b'bu',0.06999999999999999,b'20170616',0.0,b'',0.0,10.0
40,b'0',b'20150902',9.0,2017.0,b'20170919',b'SHFE',b'bu1709',b'20170915',b'1',b'bu1709',b'\xc1\xa4\xc7\xe01709',1.0,0.06999999999999999,500.0,b'1',500.0,1.0,1.0,b'20150916',b'\x00',b'1',b'2',2.0,b'1',b'bu',0.06999999999999999,b'20170918',1.7976931348623157e+308,b'',1.0,10.0
41,b'0',b'20151207',12.0,2017.0,b'20171219',b'SHFE',b'bu1712',b'20171215',b'1',b'bu1712',b'\xc1\xa4\xc7\xe01712',1.0,0.06999999999999999,500.0,b'1',500.0,1.0,1.0,b'20151216',b'\x00',b'1',b'2',2.0,b'1',b'bu',0.06999999999999999,b'20171218',1.7976931348623157e+308,b'',1.0,10.0
42,b'0',b'20160205',3.0,2018.0,b'20180322',b'SHFE',b'bu1803',b'20180315',b'1',b'bu1803',b'\xc1\xa4\xc7\xe01803',1.0,0.06999999999999999,500.0,b'1',30.0,1.0,1.0,b'20160316',b'\x00',b'1',b'2',2.0,b'1',b'bu',0.06999999999999999,b'20180316',0.0,b'',0.0,10.0
43,b'0',b'20160516',6.0,2018.0,b'20180622',b'SHFE',b'bu1806',b'20180615',b'1',b'bu1806',b'\xc1\xa4\xc7\xe01806',1.0,0.06999999999999999,500.0,b'1',30.0,1.0,1.0,b'20160616',b'\x00',b'1',b'2',2.0,b'1',b'bu',0.06999999999999999,b'20180618',0.0,b'',0.0,10.0
44,b'0',b'20150807',8.0,2016.0,b'20160817',b'SHFE',b'cu1608',b'20160815',b'1',b'cu1608',b'\xcd\xad1608',1.0,0.08,500.0,b'1',500.0,1.0,1.0,b'20150818',b'\x00',b'1',b'2',10.0,b'1',b'cu',0.08,b'20160816',1.7976931348623157e+308,b'',1.0,5.0
45,b'0',b'20150902',9.0,2016.0,b'20160921',b'SHFE',b'cu1609',b'20160919',b'1',b'cu1609',b'\xcd\xad1609',1.0,0.08,500.0,b'1',500.0,1.0,1.0,b'20150916',b'\x00',b'1',b'2',10.0,b'1',b'cu',0.08,b'20160920',0.0,b'',0.0,5.0
46,b'0',b'20151008',10.0,2016.0,b'20161019',b'SHFE',b'cu1610',b'20161017',b'1',b'cu1610',b'\xcd\xad1610',1.0,0.08,500.0,b'1',500.0,1.0,1.0,b'20151016',b'\x00',b'1',b'2',10.0,b'1',b'cu',0.08,b'20161018',1.7976931348623157e+308,b'',1.0,5.0
